2025-04-27 21:27:08,883 - INFO - Vehicle State Change - New state: {'throttle': 1609, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:08,963 - INFO - Vehicle State Change - New state: {'throttle': 1612, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,042 - INFO - Vehicle State Change - New state: {'throttle': 1616, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,122 - INFO - Vehicle State Change - New state: {'throttle': 1619, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,201 - INFO - Vehicle State Change - New state: {'throttle': 1624, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,286 - INFO - Vehicle State Change - New state: {'throttle': 1633, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,366 - INFO - Vehicle State Change - New state: {'throttle': 1637, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,448 - INFO - Vehicle State Change - New state: {'throttle': 1640, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,530 - INFO - Vehicle State Change - New state: {'throttle': 1643, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,609 - INFO - Vehicle State Change - New state: {'throttle': 1647, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,688 - INFO - Vehicle State Change - New state: {'throttle': 1652, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,767 - INFO - Vehicle State Change - New state: {'throttle': 1654, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,848 - INFO - Vehicle State Change - New state: {'throttle': 1656, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:09,930 - INFO - Vehicle State Change - New state: {'throttle': 1660, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,012 - INFO - Vehicle State Change - New state: {'throttle': 1665, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,094 - INFO - Vehicle State Change - New state: {'throttle': 1669, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,177 - INFO - Vehicle State Change - New state: {'throttle': 1670, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,259 - INFO - Vehicle State Change - New state: {'throttle': 1673, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,341 - INFO - Vehicle State Change - New state: {'throttle': 1674, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,424 - INFO - Vehicle State Change - New state: {'throttle': 1676, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,507 - INFO - Vehicle State Change - New state: {'throttle': 1677, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,589 - INFO - Vehicle State Change - New state: {'throttle': 1678, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,668 - INFO - Vehicle State Change - New state: {'throttle': 1679, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,749 - INFO - Vehicle State Change - New state: {'throttle': 1681, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,910 - INFO - Vehicle State Change - New state: {'throttle': 1684, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:10,989 - INFO - Vehicle State Change - New state: {'throttle': 1685, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:11,147 - INFO - Vehicle State Change - New state: {'throttle': 1692, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:11,229 - INFO - Vehicle State Change - New state: {'throttle': 1695, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:11,311 - INFO - Vehicle State Change - New state: {'throttle': 1699, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:11,393 - INFO - Vehicle State Change - New state: {'throttle': 1703, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:11,476 - INFO - Vehicle State Change - New state: {'throttle': 1705, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:11,558 - INFO - Vehicle State Change - New state: {'throttle': 1710, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:11,640 - INFO - Vehicle State Change - New state: {'throttle': 1711, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:11,719 - INFO - Vehicle State Change - New state: {'throttle': 1712, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:11,962 - INFO - Vehicle State Change - New state: {'throttle': 1715, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:12,207 - INFO - Vehicle State Change - New state: {'throttle': 1717, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:12,289 - INFO - Vehicle State Change - New state: {'throttle': 1723, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:12,372 - INFO - Vehicle State Change - New state: {'throttle': 1727, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:12,455 - INFO - Vehicle State Change - New state: {'throttle': 1733, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:12,615 - INFO - Vehicle State Change - New state: {'throttle': 1734, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:12,760 - INFO - Vehicle State Change - New state: {'throttle': 1735, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:12,824 - INFO - Vehicle State Change - New state: {'throttle': 1736, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:13,401 - INFO - Vehicle State Change - New state: {'throttle': 1737, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:14,424 - INFO - Vehicle State Change - New state: {'throttle': 1740, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:15,257 - INFO - Vehicle State Change - New state: {'throttle': 1741, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:15,321 - INFO - Vehicle State Change - New state: {'throttle': 1742, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:16,152 - INFO - Vehicle State Change - New state: {'throttle': 1743, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:17,770 - INFO - Vehicle State Change - New state: {'throttle': 1742, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:18,573 - INFO - Vehicle State Change - New state: {'throttle': 1741, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:18,654 - INFO - Vehicle State Change - New state: {'throttle': 1740, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:18,815 - INFO - Vehicle State Change - New state: {'throttle': 1739, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:18,899 - INFO - Vehicle State Change - New state: {'throttle': 1738, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:18,983 - INFO - Vehicle State Change - New state: {'throttle': 1735, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:19,147 - INFO - Vehicle State Change - New state: {'throttle': 1734, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:19,230 - INFO - Vehicle State Change - New state: {'throttle': 1732, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
